delta,kl_mean,kl_se
0.3,0.01203298,0.00030681
0.4,0.01159552,0.00010119
0.5,0.01134856,0.00012322
0.6,0.01090666,0.00014389
0.7,0.01071536,4.233e-05
0.8,0.01059354,0.00018739
0.9,0.01077284,9.707e-05
