Model,CV_mean,CV_se
LA-AIDS,-0.232182,0.0
BLP (IV),-0.221176,0.0
QUAIDS,-0.233916,0.0
Series Est.,-0.2333,0.0
LDS (Shared),-0.282197,0.0
LDS (GoodSpec),-0.281783,0.0
LDS (Orth),-0.241938,0.0
Neural Demand (static),-0.234959,0.001465
Neural Demand (habit),-0.209275,0.001408
Neural Demand (CF),-0.226376,0.001514
"Neural Demand (habit, CF)",-0.212295,0.000589
