K,pi,alpha_asp,alpha_acet,alpha_ibu,rho,n_runs
1,0.073,0.257,0.3603,0.3827,0.3007,5
2,0.8247,0.2614,0.4287,0.31,0.3699,5
3,0.0287,0.342,0.2955,0.3625,0.4197,5
4,0.0221,0.3325,0.3073,0.3602,0.4796,5
5,0.0222,0.3357,0.3007,0.3636,0.5396,5
6,0.0292,0.379,0.3808,0.2402,0.5995,5
