Aspirin,Acetaminophen,Ibuprofen,seed
0.5414,0.5854,0.4636,500
0.5414,0.5854,0.4636,511
0.5414,0.5854,0.4636,522
0.5414,0.5854,0.4636,533
0.5414,0.5854,0.4636,544
