Model,CV_mean,CV_se
LA-AIDS,-0.232182,0.0
BLP (IV),-0.221176,0.0
QUAIDS,-0.233916,0.0
Series Est.,-0.2333,0.0
LDS (Shared),-0.285654,0.0
LDS (GoodSpec),-0.285995,0.0
LDS (Orth),-0.256126,0.0
Neural Demand (static),-0.234583,0.000554
Neural Demand (habit),-0.207589,5.8e-05
Neural Demand (CF),-0.231324,0.000941
"Neural Demand (habit, CF)",-0.216064,0.001541
