delta,kl_mean,kl_se
0.3,0.02083122,0.00166843
0.4,0.02131691,0.00270571
0.5,0.0251827,0.00057522
0.6,0.02196414,0.00086072
0.7,0.02094986,0.00194473
0.8,0.02216535,0.00270804
0.9,0.02525738,0.00089995
