Model,Test KL,E[D_sym],max D_sym,Pr(pos curv),E[D_curv],E[D_hom]
Static (no reg),0.03376140142958426,0.008749018,0.08629509,0.9370189,0.0002341695,0.014834401
Static (reg),0.031773503513221876,0.012449344,0.09396323,0.9370189,0.00012734663,0.011091646
Habit (no reg),0.020795931754192594,0.0050790305,0.059265856,0.9370189,5.9990136e-05,0.0066321474
Habit (reg),0.026881533251631732,0.00906321,0.084801786,0.9370189,0.00021857559,0.013133312
FE static (reg),0.03385654095726282,0.010049812,0.084765665,0.9370189,0.00027514974,0.016973656
FE habit (reg),0.02619414292943077,0.0075677256,0.07090649,0.9370189,0.00017692613,0.01341325
