Model,CV_mean,CV_se
LA-AIDS,-0.232182,
BLP (IV),-0.221176,
QUAIDS,-0.233916,
Series Est.,-0.2333,
LDS (Shared),-0.28213,
LDS (GoodSpec),-0.281809,
LDS (Orth),-0.249813,
Neural Demand (static),-0.23046,
Neural Demand (habit),-0.205309,
Neural Demand (CF),-0.223252,
"Neural Demand (habit, CF)",-0.215743,
