DGP,Model,eps0,eps1,eps2,eps0_se,eps1_se,eps2_se
Habit,Ground Truth,-1.608,-0.8661,-1.0806,0.414,0.2965,0.0621
Endogenous CES,LA-AIDS,-1.0562,-1.0178,-1.2231,0.0368,0.0097,0.0282
Endogenous CES,BLP (IV),-1.5128,-2.011,-1.9969,0.0657,0.2948,0.2472
Endogenous CES,QUAIDS,-1.0132,-1.063,-1.1523,0.0869,0.0318,0.0892
Endogenous CES,Series Estm.,-1.1078,-1.1246,-1.0543,0.1636,0.0714,0.0072
Endogenous CES,LDS (Shared),-1.0179,-1.021,-1.0206,0.1049,0.1178,0.1045
Endogenous CES,LDS (GoodSpec),-1.0218,-1.0309,-1.0267,0.111,0.1367,0.1107
Endogenous CES,LDS (Orth),-1.0658,-1.0862,-1.1047,0.0768,0.0998,0.12
Endogenous CES,Neural Demand (static),-1.2841,-1.274,-1.1542,0.3558,0.1083,0.111
Endogenous CES,Neural Demand (habit),-1.1478,-1.1919,-1.1212,0.2696,0.1633,0.1319
Endogenous CES,Neural Demand (CF),-1.0498,-1.3228,-1.5178,0.1362,0.0287,0.3605
Endogenous CES,"Neural Demand (habit, CF)",-1.2103,-1.2854,-1.3499,0.0143,0.0095,0.2458
Endogenous CES,Ground Truth,-1.431,-1.4985,-1.7067,0.0033,0.0004,0.0037
