delta,kl_mean,kl_se
0.3,0.01181824,0.00010029
0.4,0.0114925,8.412e-05
0.5,0.01120534,7.87e-05
0.6,0.01089096,8.829e-05
0.7,0.01065276,0.00012023
0.8,0.01043231,3.66e-05
0.9,0.01055349,3.54e-05
